Player_ID,Player_Name,Total_Runs,Balls_Faced,Strike_Rate,Batting_Average,Matches_Played,No_of_Fours,No_of_Sixes,Balls_Bowled,Runs_Conceded,Wickets_Taken,Matches_Bowled,Overs,Economy,Bowling_Average,Bowling_SR
90231.0,J Yadav,34.0,26.0,130.76923076923077,17.0,2.0,2.0,1.0,106.0,131.0,3.0,5.0,17.666666666666668,7.415094339622641,43.666666666666664,35.333333333333336
90233.0,JA Richardson,15.0,25.0,60.0,7.5,2.0,2.0,0.0,69.0,122.0,3.0,3.0,11.5,10.608695652173912,40.666666666666664,23.0
90234.0,Jalaj S Saxena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,0.0,1.0,3.0,9.0,0.0,0.0
90237.0,JC Buttler,1117.0,769.0,145.25357607282186,50.77272727272727,24.0,111.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90239.0,JD Unadkat,100.0,69.0,144.92753623188406,33.333333333333336,8.0,7.0,5.0,257.0,359.0,11.0,11.0,42.833333333333336,8.381322957198444,32.63636363636363,23.363636363636363
90241.0,JDS Neesham,31.0,29.0,106.89655172413792,10.333333333333334,4.0,3.0,0.0,72.0,97.0,5.0,4.0,12.0,8.083333333333334,19.4,14.4
90245.0,JJ Bumrah,16.0,26.0,61.53846153846154,4.0,11.0,2.0,0.0,674.0,814.0,38.0,28.0,112.33333333333333,7.246290801186944,21.42105263157895,17.736842105263158
90246.0,JJ Roy,150.0,125.0,120.0,30.0,5.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90250.0,JM Bairstow,501.0,359.0,139.55431754874652,27.833333333333332,18.0,54.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90252.0,JM Sharma,234.0,149.0,157.04697986577182,29.25,10.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90253.0,JO Holder,143.0,119.0,120.16806722689076,11.916666666666666,15.0,4.0,12.0,469.0,647.0,32.0,20.0,78.16666666666667,8.277185501066098,20.21875,14.65625
90259.0,JR Hazlewood,18.0,27.0,66.66666666666666,18.0,5.0,1.0,0.0,504.0,682.0,32.0,21.0,84.0,8.119047619047619,21.3125,15.75
90264.0,K Gowtham,0.0,2.0,0.0,0.0,1.0,0.0,0.0,72.0,101.0,5.0,4.0,12.0,8.416666666666666,20.2,14.4
90265.0,K Kartikeya,3.0,6.0,50.0,3.0,1.0,0.0,0.0,78.0,103.0,5.0,4.0,13.0,7.923076923076923,20.6,15.6
90267.0,K Rabada,61.0,53.0,115.09433962264151,12.2,10.0,7.0,2.0,649.0,878.0,39.0,28.0,108.16666666666667,8.117103235747303,22.512820512820515,16.641025641025642
90270.0,K Yadav,0.0,4.0,0.0,0.0,1.0,0.0,0.0,12.0,17.0,0.0,1.0,2.0,8.5,0.0,0.0
90271.0,KA Jamieson,65.0,55.0,118.18181818181819,21.666666666666668,7.0,5.0,3.0,179.0,271.0,9.0,9.0,29.833333333333332,9.083798882681565,30.11111111111111,19.88888888888889
90272.0,KA Pollard,389.0,326.0,119.32515337423312,19.45,24.0,22.0,25.0,172.0,225.0,10.0,15.0,28.666666666666668,7.848837209302325,22.5,17.2
90277.0,Kartik Tyagi,9.0,10.0,90.0,3.0,4.0,1.0,0.0,147.0,204.0,5.0,6.0,24.5,8.326530612244898,40.8,29.4
90281.0,KD Karthik,553.0,360.0,153.61111111111111,34.5625,31.0,49.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90282.0,KH Pandya,326.0,276.0,118.1159420289855,16.3,25.0,26.0,10.0,442.0,536.0,16.0,24.0,73.66666666666667,7.276018099547511,33.5,27.625
90284.0,KK Ahmed,1.0,4.0,25.0,0.3333333333333333,3.0,0.0,0.0,410.0,540.0,21.0,17.0,68.33333333333333,7.902439024390245,25.714285714285715,19.523809523809526
90286.0,KK Nair,16.0,18.0,88.88888888888889,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90287.0,KL Nagarkoti,0.0,2.0,0.0,0.0,1.0,0.0,0.0,25.0,54.0,0.0,2.0,4.166666666666667,12.959999999999999,0.0,0.0
90288.0,KL Rahul,1242.0,937.0,132.55069370330844,62.1,27.0,93.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90289.0,KM Asif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,1.0,1.0,2.3333333333333335,7.7142857142857135,18.0,14.0
90290.0,KM Jadhav,55.0,55.0,100.0,13.75,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90295.0,KR Sen,0.0,3.0,0.0,0.0,1.0,0.0,0.0,157.0,240.0,8.0,7.0,26.166666666666668,9.171974522292993,30.0,19.625
